"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","GCC",2.14003847126593,2.10960365853659,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","GCC",2.15994452882819,2.12501038982628,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","GCC",2.16556226608317,2.12791472351765,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","GCC",2.1598362585045,2.12118055555556,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","GCC",2.16251197744408,2.12342767295597,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","GCC",2.15696483625759,2.11878612716763,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","GCC",2.15801015908874,2.11746031746032,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","GCC",2.17093415718939,2.1306319629301,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","GCC",2.15949370368992,2.12040889100202,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","GCC",2.1427632023477,2.10637065637066,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","GCC",2.16581678920271,2.12353810996102,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","GCC",2.1274139591459,2.09469696969697,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","GCC",2.1516565547131,2.113216875412,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","GCC",2.14702882063502,2.11180642469754,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","GCC",2.18107668949317,2.13517778245319,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","GCC",2.16757057007211,2.1223949337939,267687,0.802659670164918
