"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","GRVI",-0.117141633590608,-0.123287671232877,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","GRVI",-0.121876926585767,-0.126050420168067,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","GRVI",-0.118915365110895,-0.124183006535948,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","GRVI",-0.130246237268704,-0.133333333333333,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","GRVI",-0.114646357956656,-0.120567375886525,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","GRVI",-0.123860693936359,-0.127753303964758,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","GRVI",-0.11447476342953,-0.120567375886525,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","GRVI",-0.112387358041201,-0.118110236220472,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","GRVI",-0.12211551825755,-0.126582278481013,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","GRVI",-0.127206054053466,-0.12987012987013,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","GRVI",-0.115637579375769,-0.120689655172414,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","GRVI",-0.131790234258247,-0.134502923976608,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","GRVI",-0.106915279291365,-0.112582781456954,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","GRVI",-0.121097048525519,-0.124183006535948,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","GRVI",-0.100778425839307,-0.108108108108108,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","GRVI",-0.103824273713059,-0.112676056338028,267687,0.802659670164918
"17","RGB0017",185,2018,"2018-03-22T00:00:00","GRVI",-0.119986922089279,-0.124087591240876,267687,0.802659670164918
"18","RGB0018",276,2018,"2018-03-22T00:00:00","GRVI",-0.0940035146454225,-0.10188679245283,267687,0.802659670164918
"19","RGB0019",159,2018,"2018-03-22T00:00:00","GRVI",-0.102456911725487,-0.106666666666667,267687,0.802659670164918
"20","RGB0020",29,2018,"2018-03-22T00:00:00","GRVI",-0.123928001189496,-0.127272727272727,267687,0.802659670164918
"21","RGB0021",51,2018,"2018-03-22T00:00:00","GRVI",-0.122059906221276,-0.125,267687,0.802659670164918
"22","RGB0022",142,2018,"2018-03-22T00:00:00","GRVI",-0.128325011639819,-0.131034482758621,267687,0.802659670164918
"23","RGB0023",339,2018,"2018-03-22T00:00:00","GRVI",-0.133257155760636,-0.135483870967742,267687,0.802659670164918
"24","RGB0024",115,2018,"2018-03-22T00:00:00","GRVI",-0.117559580995201,-0.121951219512195,267687,0.802659670164918
"25","RGB0025",11,2018,"2018-03-22T00:00:00","GRVI",-0.122271988238607,-0.126760563380282,267687,0.802659670164918
"26","RGB0026",299,2018,"2018-03-22T00:00:00","GRVI",-0.122631959252774,-0.12751677852349,267687,0.802659670164918
"27","RGB0027",227,2018,"2018-03-22T00:00:00","GRVI",-0.130261644326207,-0.132743362831858,267687,0.802659670164918
"28","RGB0028",12,2018,"2018-03-22T00:00:00","GRVI",-0.127145514853553,-0.130434782608696,267687,0.802659670164918
"29","RGB0029",338,2018,"2018-03-22T00:00:00","GRVI",-0.138119616333111,-0.13953488372093,267687,0.802659670164918
"30","RGB0030",273,2018,"2018-03-22T00:00:00","GRVI",-0.112890305080083,-0.118110236220472,267687,0.802659670164918
