"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","HSV_HdivV",1.39489442392487,1.36144578313253,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","HSV_HdivV",1.3383077426928,1.32558139534884,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","HSV_HdivV",1.35768556032321,1.34246575342466,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","HSV_HdivV",1.38838557794995,1.375,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","HSV_HdivV",1.38524107545144,1.37142857142857,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","HSV_HdivV",1.38149835424725,1.36619718309859,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","HSV_HdivV",1.38258455425092,1.36904761904762,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","HSV_HdivV",1.38359352458942,1.36708860759494,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","HSV_HdivV",1.35656262087113,1.33898305084746,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","HSV_HdivV",1.33140929651644,1.31707317073171,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","HSV_HdivV",1.35226708188983,1.33333333333333,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","HSV_HdivV",1.3195235051436,1.30588235294118,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","HSV_HdivV",1.32984451908221,1.31506849315068,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","HSV_HdivV",1.32793220025463,1.31506849315068,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","HSV_HdivV",1.36324942822244,1.34782608695652,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","HSV_HdivV",1.34292775664879,1.32941176470588,267687,0.802659670164918
