"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","HSV_S",0.371242447745403,0.376582278481013,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","HSV_S",0.372412217209222,0.376666666666667,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","HSV_S",0.373821463587033,0.378277153558052,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","HSV_S",0.37803943138597,0.382059800664452,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","HSV_S",0.374139775269526,0.378640776699029,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","HSV_S",0.374538574359194,0.379310344827586,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","HSV_S",0.372821968090853,0.37741935483871,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","HSV_S",0.374781384902845,0.378980891719745,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","HSV_S",0.373234441111744,0.377104377104377,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","HSV_S",0.369393704586994,0.372937293729373,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","HSV_S",0.372159700147684,0.37546468401487,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","HSV_S",0.367042651809153,0.370909090909091,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","HSV_S",0.365109991856041,0.369098712446352,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","HSV_S",0.367991895027147,0.372159090909091,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","HSV_S",0.372230817221198,0.375739644970414,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","HSV_S",0.369393433041209,0.37248322147651,267687,0.802659670164918
"17","RGB0017",185,2018,"2018-03-22T00:00:00","HSV_S",0.362969372409783,0.367272727272727,267687,0.802659670164918
"18","RGB0018",276,2018,"2018-03-22T00:00:00","HSV_S",0.355490269872563,0.359756097560976,267687,0.802659670164918
"19","RGB0019",159,2018,"2018-03-22T00:00:00","HSV_S",0.356305374450237,0.361313868613139,267687,0.802659670164918
"20","RGB0020",29,2018,"2018-03-22T00:00:00","HSV_S",0.361106695664063,0.365930599369085,267687,0.802659670164918
"21","RGB0021",51,2018,"2018-03-22T00:00:00","HSV_S",0.365280111499302,0.36969696969697,267687,0.802659670164918
"22","RGB0022",142,2018,"2018-03-22T00:00:00","HSV_S",0.367307566822419,0.371428571428571,267687,0.802659670164918
"23","RGB0023",339,2018,"2018-03-22T00:00:00","HSV_S",0.36673329486191,0.370748299319728,267687,0.802659670164918
"24","RGB0024",115,2018,"2018-03-22T00:00:00","HSV_S",0.369959785884671,0.373626373626374,267687,0.802659670164918
"25","RGB0025",11,2018,"2018-03-22T00:00:00","HSV_S",0.367795791643102,0.37123745819398,267687,0.802659670164918
"26","RGB0026",299,2018,"2018-03-22T00:00:00","HSV_S",0.366032912532237,0.369747899159664,267687,0.802659670164918
"27","RGB0027",227,2018,"2018-03-22T00:00:00","HSV_S",0.365114238768813,0.369281045751634,267687,0.802659670164918
"28","RGB0028",12,2018,"2018-03-22T00:00:00","HSV_S",0.368756066384618,0.372262773722628,267687,0.802659670164918
"29","RGB0029",338,2018,"2018-03-22T00:00:00","HSV_S",0.369949931818747,0.373831775700935,267687,0.802659670164918
"30","RGB0030",273,2018,"2018-03-22T00:00:00","HSV_S",0.370775289438565,0.375404530744336,267687,0.802659670164918
"31","RGB0031",122,2018,"2018-03-22T00:00:00","HSV_S",0.374938855867387,0.378980891719745,267687,0.802659670164918
"32","RGB0032",5,2018,"2018-03-22T00:00:00","HSV_S",0.37768131180383,0.38150289017341,267687,0.802659670164918
"33","RGB0033",239,2018,"2018-03-22T00:00:00","HSV_S",0.373492795588408,0.37785016286645,267687,0.802659670164918
"34","RGB0034",387,2018,"2018-03-22T00:00:00","HSV_S",0.373445870262756,0.378181818181818,267687,0.802659670164918
"35","RGB0035",319,2018,"2018-03-22T00:00:00","HSV_S",0.373448394679819,0.377510040160642,267687,0.802659670164918
"36","RGB0036",170,2018,"2018-03-22T00:00:00","HSV_S",0.373686231308408,0.377926421404682,267687,0.802659670164918
"37","RGB0037",93,2018,"2018-03-22T00:00:00","HSV_S",0.372137091178861,0.375968992248062,267687,0.802659670164918
"38","RGB0038",103,2018,"2018-03-22T00:00:00","HSV_S",0.375321398560816,0.379194630872483,267687,0.802659670164918
"39","RGB0039",424,2018,"2018-03-22T00:00:00","HSV_S",0.377776376406991,0.382239382239382,267687,0.802659670164918
"40","RGB0040",269,2018,"2018-03-22T00:00:00","HSV_S",0.374485216754772,0.378640776699029,267687,0.802659670164918
"41","RGB0041",48,2018,"2018-03-22T00:00:00","HSV_S",0.373870065761719,0.378125,267687,0.802659670164918
"42","RGB0042",225,2018,"2018-03-22T00:00:00","HSV_S",0.374802018105559,0.379790940766551,267687,0.802659670164918
"43","RGB0043",202,2018,"2018-03-22T00:00:00","HSV_S",0.373284752105641,0.378048780487805,267687,0.802659670164918
"44","RGB0044",194,2018,"2018-03-22T00:00:00","HSV_S",0.377544497963269,0.381322957198444,267687,0.802659670164918
"45","RGB0045",39,2018,"2018-03-22T00:00:00","HSV_S",0.371283863053922,0.375,267687,0.802659670164918
"46","RGB0046",266,2018,"2018-03-22T00:00:00","HSV_S",0.36923419126152,0.373287671232877,267687,0.802659670164918
"47","RGB0047",163,2018,"2018-03-22T00:00:00","HSV_S",0.366777633509482,0.371134020618557,267687,0.802659670164918
"48","RGB0048",213,2018,"2018-03-22T00:00:00","HSV_S",0.370498367230823,0.373860182370821,267687,0.802659670164918
"49","RGB0049",112,2018,"2018-03-22T00:00:00","HSV_S",0.370384119160358,0.374301675977654,267687,0.802659670164918
"50","RGB0050",129,2018,"2018-03-22T00:00:00","HSV_S",0.362581560849462,0.367052023121387,267687,0.802659670164918
"51","RGB0051",286,2018,"2018-03-22T00:00:00","HSV_S",0.366714431169379,0.37037037037037,267687,0.802659670164918
"52","RGB0052",195,2018,"2018-03-22T00:00:00","HSV_S",0.36511620588755,0.369426751592357,267687,0.802659670164918
"53","RGB0053",209,2018,"2018-03-22T00:00:00","HSV_S",0.363916499454904,0.367892976588629,267687,0.802659670164918
"54","RGB0054",327,2018,"2018-03-22T00:00:00","HSV_S",0.35505164022243,0.36013986013986,267687,0.802659670164918
"55","RGB0055",462,2018,"2018-03-22T00:00:00","HSV_S",0.354637855641302,0.359683794466403,267687,0.802659670164918
"56","RGB0056",373,2018,"2018-03-22T00:00:00","HSV_S",0.364460382098127,0.368770764119601,267687,0.802659670164918
"57","RGB0057",364,2018,"2018-03-22T00:00:00","HSV_S",0.367722219897351,0.372413793103448,267687,0.802659670164918
"58","RGB0058",314,2018,"2018-03-22T00:00:00","HSV_S",0.366765541701709,0.371069182389937,267687,0.802659670164918
"59","RGB0059",181,2018,"2018-03-22T00:00:00","HSV_S",0.364117843581338,0.368589743589744,267687,0.802659670164918
"60","RGB0060",344,2018,"2018-03-22T00:00:00","HSV_S",0.365353313853224,0.369402985074627,267687,0.802659670164918
"61","RGB0061",278,2018,"2018-03-22T00:00:00","HSV_S",0.369751436348342,0.373417721518987,267687,0.802659670164918
"62","RGB0062",475,2018,"2018-03-22T00:00:00","HSV_S",0.366806533643895,0.372307692307692,267687,0.802659670164918
"63","RGB0063",369,2018,"2018-03-22T00:00:00","HSV_S",0.370772826327221,0.375,267687,0.802659670164918
"64","RGB0064",236,2018,"2018-03-22T00:00:00","HSV_S",0.371506640754501,0.375912408759124,267687,0.802659670164918
"65","RGB0065",58,2018,"2018-03-22T00:00:00","HSV_S",0.371513568484447,0.375816993464052,267687,0.802659670164918
"66","RGB0066",84,2018,"2018-03-22T00:00:00","HSV_S",0.370186821547421,0.374613003095975,267687,0.802659670164918
"67","RGB0067",107,2018,"2018-03-22T00:00:00","HSV_S",0.375287269704581,0.379790940766551,267687,0.802659670164918
"68","RGB0068",334,2018,"2018-03-22T00:00:00","HSV_S",0.373326559447664,0.37785016286645,267687,0.802659670164918
"69","RGB0069",451,2018,"2018-03-22T00:00:00","HSV_S",0.375113743007979,0.379421221864952,267687,0.802659670164918
"70","RGB0070",378,2018,"2018-03-22T00:00:00","HSV_S",0.371575606370219,0.376146788990826,267687,0.802659670164918
"71","RGB0071",1,2018,"2018-03-22T00:00:00","HSV_S",0.379142268797311,0.383064516129032,267687,0.802659670164918
"72","RGB0072",301,2018,"2018-03-22T00:00:00","HSV_S",0.372781077601407,0.376865671641791,267687,0.802659670164918
"73","RGB0073",54,2018,"2018-03-22T00:00:00","HSV_S",0.37529891044893,0.38,267687,0.802659670164918
"74","RGB0074",249,2018,"2018-03-22T00:00:00","HSV_S",0.376212938786943,0.380664652567976,267687,0.802659670164918
"75","RGB0075",73,2018,"2018-03-22T00:00:00","HSV_S",0.377143788177726,0.380664652567976,267687,0.802659670164918
"76","RGB0076",290,2018,"2018-03-22T00:00:00","HSV_S",0.372603713675447,0.37741935483871,267687,0.802659670164918
"77","RGB0077",465,2018,"2018-03-22T00:00:00","HSV_S",0.373854727341685,0.377862595419847,267687,0.802659670164918
"78","RGB0078",30,2018,"2018-03-22T00:00:00","HSV_S",0.377998353166292,0.382636655948553,267687,0.802659670164918
"79","RGB0079",90,2018,"2018-03-22T00:00:00","HSV_S",0.374885884433144,0.379310344827586,267687,0.802659670164918
"80","RGB0080",456,2018,"2018-03-22T00:00:00","HSV_S",0.37165224170026,0.375886524822695,267687,0.802659670164918
"81","RGB0081",128,2018,"2018-03-22T00:00:00","HSV_S",0.368142421301271,0.372413793103448,267687,0.802659670164918
"82","RGB0082",29,2018,"2018-03-22T00:00:00","HSV_S",0.369733605922993,0.373333333333333,267687,0.802659670164918
"83","RGB0083",321,2018,"2018-03-22T00:00:00","HSV_S",0.365274415357488,0.369426751592357,267687,0.802659670164918
"84","RGB0084",196,2018,"2018-03-22T00:00:00","HSV_S",0.371818697322525,0.375404530744336,267687,0.802659670164918
"85","RGB0085",162,2018,"2018-03-22T00:00:00","HSV_S",0.366334500651884,0.370909090909091,267687,0.802659670164918
"86","RGB0086",264,2018,"2018-03-22T00:00:00","HSV_S",0.370793047147324,0.374172185430464,267687,0.802659670164918
"87","RGB0087",248,2018,"2018-03-22T00:00:00","HSV_S",0.367021128213456,0.371681415929204,267687,0.802659670164918
"88","RGB0088",474,2018,"2018-03-22T00:00:00","HSV_S",0.364248870940257,0.368421052631579,267687,0.802659670164918
"89","RGB0089",294,2018,"2018-03-22T00:00:00","HSV_S",0.365688669037608,0.369426751592357,267687,0.802659670164918
"90","RGB0090",328,2018,"2018-03-22T00:00:00","HSV_S",0.353950112259244,0.359375,267687,0.802659670164918
"91","RGB0091",116,2018,"2018-03-22T00:00:00","HSV_S",0.349953424969773,0.356,267687,0.802659670164918
"92","RGB0092",292,2018,"2018-03-22T00:00:00","HSV_S",0.364598716181015,0.368243243243243,267687,0.802659670164918
"93","RGB0093",144,2018,"2018-03-22T00:00:00","HSV_S",0.365866132353102,0.369426751592357,267687,0.802659670164918
"94","RGB0094",160,2018,"2018-03-22T00:00:00","HSV_S",0.368103303879317,0.371841155234657,267687,0.802659670164918
"95","RGB0095",308,2018,"2018-03-22T00:00:00","HSV_S",0.368998655649036,0.372549019607843,267687,0.802659670164918
"96","RGB0096",343,2018,"2018-03-22T00:00:00","HSV_S",0.365538522846799,0.369337979094077,267687,0.802659670164918
"97","RGB0097",33,2018,"2018-03-22T00:00:00","HSV_S",0.371031939433457,0.373983739837398,267687,0.802659670164918
"98","RGB0098",237,2018,"2018-03-22T00:00:00","HSV_S",0.366286781270784,0.37037037037037,267687,0.802659670164918
"99","RGB0099",148,2018,"2018-03-22T00:00:00","HSV_S",0.363836402397181,0.368243243243243,267687,0.802659670164918
"100","RGB0100",214,2018,"2018-03-22T00:00:00","HSV_S",0.372712854163687,0.376344086021505,267687,0.802659670164918
"101","RGB0101",372,2018,"2018-03-22T00:00:00","HSV_S",0.37031613083309,0.374149659863946,267687,0.802659670164918
"102","RGB0102",288,2018,"2018-03-22T00:00:00","HSV_S",0.372334068769689,0.376271186440678,267687,0.802659670164918
"103","RGB0103",2,2018,"2018-03-22T00:00:00","HSV_S",0.371249418311557,0.375706214689266,267687,0.802659670164918
"104","RGB0104",29,2018,"2018-03-22T00:00:00","HSV_S",0.374685627379387,0.378571428571429,267687,0.802659670164918
"105","RGB0105",370,2018,"2018-03-22T00:00:00","HSV_S",0.374030033923869,0.378048780487805,267687,0.802659670164918
"106","RGB0106",113,2018,"2018-03-22T00:00:00","HSV_S",0.374959887728495,0.379084967320261,267687,0.802659670164918
"107","RGB0107",70,2018,"2018-03-22T00:00:00","HSV_S",0.372733184607008,0.37741935483871,267687,0.802659670164918
"108","RGB0108",462,2018,"2018-03-22T00:00:00","HSV_S",0.375133447798449,0.379084967320261,267687,0.802659670164918
"109","RGB0109",478,2018,"2018-03-22T00:00:00","HSV_S",0.37377466401408,0.378091872791519,267687,0.802659670164918
"110","RGB0110",466,2018,"2018-03-22T00:00:00","HSV_S",0.376714350048892,0.38047138047138,267687,0.802659670164918
"111","RGB0111",67,2018,"2018-03-22T00:00:00","HSV_S",0.376849670998786,0.381410256410256,267687,0.802659670164918
"112","RGB0112",102,2018,"2018-03-22T00:00:00","HSV_S",0.36546900836473,0.369109947643979,267687,0.802659670164918
"113","RGB0113",14,2018,"2018-03-22T00:00:00","HSV_S",0.376849322735441,0.380804953560371,267687,0.802659670164918
"114","RGB0114",23,2018,"2018-03-22T00:00:00","HSV_S",0.371127508067252,0.374251497005988,267687,0.802659670164918
"115","RGB0115",316,2018,"2018-03-22T00:00:00","HSV_S",0.369014914176726,0.372759856630824,267687,0.802659670164918
"116","RGB0116",385,2018,"2018-03-22T00:00:00","HSV_S",0.367249610172528,0.370967741935484,267687,0.802659670164918
