"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","NDI",113.005870900402,112.219178082192,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","NDI",112.399753397022,111.865546218487,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","NDI",112.778833265805,112.104575163399,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","NDI",111.328481629606,110.933333333333,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","NDI",113.325266181548,112.567375886525,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","NDI",112.145831176146,111.647577092511,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","NDI",113.34723028102,112.567375886525,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","NDI",113.614418170726,112.88188976378,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","NDI",112.369213663034,111.79746835443,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","NDI",111.717625081156,111.376623376623,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","NDI",113.198389839902,112.551724137931,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","NDI",111.130850014944,110.783625730994,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","NDI",114.314844250705,113.58940397351,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","NDI",112.499577788734,112.104575163399,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","NDI",115.100361492569,114.162162162162,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","NDI",114.710492964728,113.577464788732,267687,0.802659670164918
"17","RGB0017",185,2018,"2018-03-22T00:00:00","NDI",112.641673972572,112.116788321168,267687,0.802659670164918
"18","RGB0018",276,2018,"2018-03-22T00:00:00","NDI",115.967550125386,114.958490566038,267687,0.802659670164918
"19","RGB0019",159,2018,"2018-03-22T00:00:00","NDI",114.885515299138,114.346666666667,267687,0.802659670164918
"20","RGB0020",29,2018,"2018-03-22T00:00:00","NDI",112.137215847744,111.709090909091,267687,0.802659670164918
"21","RGB0021",51,2018,"2018-03-22T00:00:00","NDI",112.376332003677,112,267687,0.802659670164918
"22","RGB0022",142,2018,"2018-03-22T00:00:00","NDI",111.574398510103,111.227586206897,267687,0.802659670164918
"23","RGB0023",339,2018,"2018-03-22T00:00:00","NDI",110.943084062639,110.658064516129,267687,0.802659670164918
"24","RGB0024",115,2018,"2018-03-22T00:00:00","NDI",112.952373632614,112.390243902439,267687,0.802659670164918
"25","RGB0025",11,2018,"2018-03-22T00:00:00","NDI",112.349185505458,111.774647887324,267687,0.802659670164918
"26","RGB0026",299,2018,"2018-03-22T00:00:00","NDI",112.303109215645,111.677852348993,267687,0.802659670164918
"27","RGB0027",227,2018,"2018-03-22T00:00:00","NDI",111.326509526245,111.008849557522,267687,0.802659670164918
"28","RGB0028",12,2018,"2018-03-22T00:00:00","NDI",111.725374098745,111.304347826087,267687,0.802659670164918
"29","RGB0029",338,2018,"2018-03-22T00:00:00","NDI",110.320689109362,110.139534883721,267687,0.802659670164918
"30","RGB0030",273,2018,"2018-03-22T00:00:00","NDI",113.550040949749,112.88188976378,267687,0.802659670164918
