"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","RGB0001",43,2018,"2018-03-22T00:00:00","TGI",2.12806964574844,1.90243902439025,267687,0.802659670164918
"2","RGB0002",57,2018,"2018-03-22T00:00:00","TGI",2.22834710742836,1.99468085106383,267687,0.802659670164918
"3","RGB0003",152,2018,"2018-03-22T00:00:00","TGI",2.3650541852238,2.05263157894737,267687,0.802659670164918
"4","RGB0004",353,2018,"2018-03-22T00:00:00","TGI",1.91508721626355,1.70520231213873,267687,0.802659670164918
"5","RGB0005",296,2018,"2018-03-22T00:00:00","TGI",2.47988397489961,2.15976331360947,267687,0.802659670164918
"6","RGB0006",233,2018,"2018-03-22T00:00:00","TGI",2.10691098063381,1.88172043010752,267687,0.802659670164918
"7","RGB0007",240,2018,"2018-03-22T00:00:00","TGI",2.4406114308229,2.09770114942529,267687,0.802659670164918
"8","RGB0008",335,2018,"2018-03-22T00:00:00","TGI",2.62956075736376,2.32044198895028,267687,0.802659670164918
"9","RGB0009",424,2018,"2018-03-22T00:00:00","TGI",2.20073617479579,1.94594594594595,267687,0.802659670164918
"10","RGB0010",331,2018,"2018-03-22T00:00:00","TGI",1.88478045724775,1.68421052631579,267687,0.802659670164918
"11","RGB0011",200,2018,"2018-03-22T00:00:00","TGI",2.47834557549132,2.15025906735752,267687,0.802659670164918
"12","RGB0012",352,2018,"2018-03-22T00:00:00","TGI",1.59447878926237,1.42857142857143,267687,0.802659670164918
"13","RGB0013",68,2018,"2018-03-22T00:00:00","TGI",2.65687456423677,2.32673267326733,267687,0.802659670164918
"14","RGB0014",153,2018,"2018-03-22T00:00:00","TGI",2.13439801795389,1.92307692307692,267687,0.802659670164918
"15","RGB0015",1,2018,"2018-03-22T00:00:00","TGI",3.11026643132038,2.66355140186916,267687,0.802659670164918
"16","RGB0016",363,2018,"2018-03-22T00:00:00","TGI",2.89839743796782,2.39247311827957,267687,0.802659670164918
"17","RGB0017",185,2018,"2018-03-22T00:00:00","TGI",2.06858661566357,1.77551020408163,267687,0.802659670164918
"18","RGB0018",276,2018,"2018-03-22T00:00:00","TGI",2.8622614952095,2.33727810650888,267687,0.802659670164918
"19","RGB0019",159,2018,"2018-03-22T00:00:00","TGI",2.53141528967348,2.175,267687,0.802659670164918
"20","RGB0020",29,2018,"2018-03-22T00:00:00","TGI",1.71493926414165,1.51960784313725,267687,0.802659670164918
"21","RGB0021",51,2018,"2018-03-22T00:00:00","TGI",1.95588020339325,1.74285714285714,267687,0.802659670164918
"22","RGB0022",142,2018,"2018-03-22T00:00:00","TGI",1.71888175837173,1.55913978494624,267687,0.802659670164918
"23","RGB0023",339,2018,"2018-03-22T00:00:00","TGI",1.49482432085884,1.36627906976744,267687,0.802659670164918
"24","RGB0024",115,2018,"2018-03-22T00:00:00","TGI",2.29080127637695,2.01612903225806,267687,0.802659670164918
"25","RGB0025",11,2018,"2018-03-22T00:00:00","TGI",2.06153913562744,1.75531914893617,267687,0.802659670164918
"26","RGB0026",299,2018,"2018-03-22T00:00:00","TGI",1.97780140984486,1.70918367346938,267687,0.802659670164918
"27","RGB0027",227,2018,"2018-03-22T00:00:00","TGI",1.63438103376925,1.47368421052632,267687,0.802659670164918
"28","RGB0028",12,2018,"2018-03-22T00:00:00","TGI",1.90253642263832,1.71296296296296,267687,0.802659670164918
"29","RGB0029",338,2018,"2018-03-22T00:00:00","TGI",1.37610503375514,1.27358490566037,267687,0.802659670164918
"30","RGB0030",273,2018,"2018-03-22T00:00:00","TGI",2.5720565368511,2.26256983240223,267687,0.802659670164918
"31","RGB0031",122,2018,"2018-03-22T00:00:00","TGI",1.95802962833842,1.76136363636364,267687,0.802659670164918
"32","RGB0032",5,2018,"2018-03-22T00:00:00","TGI",2.21179601415095,1.91489361702128,267687,0.802659670164918
"33","RGB0033",239,2018,"2018-03-22T00:00:00","TGI",1.77134951288934,1.57142857142857,267687,0.802659670164918
"34","RGB0034",387,2018,"2018-03-22T00:00:00","TGI",1.83610882859421,1.65853658536586,267687,0.802659670164918
"35","RGB0035",319,2018,"2018-03-22T00:00:00","TGI",1.83116406619199,1.640625,267687,0.802659670164918
"36","RGB0036",170,2018,"2018-03-22T00:00:00","TGI",2.37954328443451,2.13450292397661,267687,0.802659670164918
"37","RGB0037",93,2018,"2018-03-22T00:00:00","TGI",2.35276698211539,2.08542713567839,267687,0.802659670164918
"38","RGB0038",103,2018,"2018-03-22T00:00:00","TGI",2.0972576714155,1.84466019417476,267687,0.802659670164918
"39","RGB0039",424,2018,"2018-03-22T00:00:00","TGI",2.29963999704796,2.02127659574468,267687,0.802659670164918
"40","RGB0040",269,2018,"2018-03-22T00:00:00","TGI",2.27503658062697,2.01117318435754,267687,0.802659670164918
"41","RGB0041",48,2018,"2018-03-22T00:00:00","TGI",1.92107045107948,1.72680412371134,267687,0.802659670164918
"42","RGB0042",225,2018,"2018-03-22T00:00:00","TGI",2.57455441538716,2.26190476190476,267687,0.802659670164918
"43","RGB0043",202,2018,"2018-03-22T00:00:00","TGI",1.74188491509053,1.55940594059406,267687,0.802659670164918
"44","RGB0044",194,2018,"2018-03-22T00:00:00","TGI",2.69850193794854,2.33918128654971,267687,0.802659670164918
"45","RGB0045",39,2018,"2018-03-22T00:00:00","TGI",2.63878532335407,2.25925925925926,267687,0.802659670164918
"46","RGB0046",266,2018,"2018-03-22T00:00:00","TGI",1.89750536362861,1.66666666666666,267687,0.802659670164918
"47","RGB0047",163,2018,"2018-03-22T00:00:00","TGI",1.65765331696611,1.49350649350649,267687,0.802659670164918
"48","RGB0048",213,2018,"2018-03-22T00:00:00","TGI",2.47570113215636,2.11229946524064,267687,0.802659670164918
"49","RGB0049",112,2018,"2018-03-22T00:00:00","TGI",2.5847567584576,2.26057906458797,267687,0.802659670164918
"50","RGB0050",129,2018,"2018-03-22T00:00:00","TGI",2.21700685792774,1.90217391304348,267687,0.802659670164918
"51","RGB0051",286,2018,"2018-03-22T00:00:00","TGI",2.3699021645579,2.04678362573099,267687,0.802659670164918
"52","RGB0052",195,2018,"2018-03-22T00:00:00","TGI",2.28642876425713,2.05128205128205,267687,0.802659670164918
"53","RGB0053",209,2018,"2018-03-22T00:00:00","TGI",2.16937119921759,1.89473684210527,267687,0.802659670164918
"54","RGB0054",327,2018,"2018-03-22T00:00:00","TGI",2.43800574366274,2.03821656050955,267687,0.802659670164918
"55","RGB0055",462,2018,"2018-03-22T00:00:00","TGI",2.81375122142654,2.27513227513228,267687,0.802659670164918
"56","RGB0056",373,2018,"2018-03-22T00:00:00","TGI",2.09967938827198,1.83628318584071,267687,0.802659670164918
"57","RGB0057",364,2018,"2018-03-22T00:00:00","TGI",2.15062853135473,1.88775510204082,267687,0.802659670164918
"58","RGB0058",314,2018,"2018-03-22T00:00:00","TGI",1.97446007302019,1.72932330827068,267687,0.802659670164918
"59","RGB0059",181,2018,"2018-03-22T00:00:00","TGI",1.32853917039351,1.20283018867924,267687,0.802659670164918
"60","RGB0060",344,2018,"2018-03-22T00:00:00","TGI",2.07404708797255,1.82291666666666,267687,0.802659670164918
"61","RGB0061",278,2018,"2018-03-22T00:00:00","TGI",2.45143562947678,2.08121827411168,267687,0.802659670164918
"62","RGB0062",475,2018,"2018-03-22T00:00:00","TGI",1.97225662721258,1.76315789473684,267687,0.802659670164918
"63","RGB0063",369,2018,"2018-03-22T00:00:00","TGI",1.93053503632331,1.7487684729064,267687,0.802659670164918
"64","RGB0064",236,2018,"2018-03-22T00:00:00","TGI",2.1047001185305,1.82038834951456,267687,0.802659670164918
"65","RGB0065",58,2018,"2018-03-22T00:00:00","TGI",2.07756665842157,1.83615819209039,267687,0.802659670164918
"66","RGB0066",84,2018,"2018-03-22T00:00:00","TGI",1.73683451867825,1.53645833333334,267687,0.802659670164918
"67","RGB0067",107,2018,"2018-03-22T00:00:00","TGI",1.95323830494548,1.72185430463576,267687,0.802659670164918
"68","RGB0068",334,2018,"2018-03-22T00:00:00","TGI",1.33027514292923,1.22754491017964,267687,0.802659670164918
"69","RGB0069",451,2018,"2018-03-22T00:00:00","TGI",2.20106726975597,1.92477876106195,267687,0.802659670164918
"70","RGB0070",378,2018,"2018-03-22T00:00:00","TGI",2.13225064912451,1.88888888888889,267687,0.802659670164918
"71","RGB0071",1,2018,"2018-03-22T00:00:00","TGI",2.86333121467505,2.47368421052631,267687,0.802659670164918
"72","RGB0072",301,2018,"2018-03-22T00:00:00","TGI",2.31885667613382,2.05202312138728,267687,0.802659670164918
"73","RGB0073",54,2018,"2018-03-22T00:00:00","TGI",2.47506458099692,2.19653179190752,267687,0.802659670164918
"74","RGB0074",249,2018,"2018-03-22T00:00:00","TGI",2.03964085723875,1.80379746835443,267687,0.802659670164918
"75","RGB0075",73,2018,"2018-03-22T00:00:00","TGI",2.52079960623917,2.12962962962963,267687,0.802659670164918
"76","RGB0076",290,2018,"2018-03-22T00:00:00","TGI",1.70553293443617,1.50887573964497,267687,0.802659670164918
"77","RGB0077",465,2018,"2018-03-22T00:00:00","TGI",2.04004289758503,1.80232558139535,267687,0.802659670164918
"78","RGB0078",30,2018,"2018-03-22T00:00:00","TGI",2.07096485699243,1.80790960451977,267687,0.802659670164918
"79","RGB0079",90,2018,"2018-03-22T00:00:00","TGI",2.0890221760592,1.8298969072165,267687,0.802659670164918
"80","RGB0080",456,2018,"2018-03-22T00:00:00","TGI",2.00714694856683,1.76470588235294,267687,0.802659670164918
"81","RGB0081",128,2018,"2018-03-22T00:00:00","TGI",1.56722206894557,1.40350877192983,267687,0.802659670164918
"82","RGB0082",29,2018,"2018-03-22T00:00:00","TGI",1.94051538622132,1.66666666666666,267687,0.802659670164918
"83","RGB0083",321,2018,"2018-03-22T00:00:00","TGI",1.19367257498299,1.0909090909091,267687,0.802659670164918
"84","RGB0084",196,2018,"2018-03-22T00:00:00","TGI",2.54101840513288,2.17616580310881,267687,0.802659670164918
"85","RGB0085",162,2018,"2018-03-22T00:00:00","TGI",1.57360991037621,1.4021164021164,267687,0.802659670164918
"86","RGB0086",264,2018,"2018-03-22T00:00:00","TGI",2.75944833648171,2.4,267687,0.802659670164918
"87","RGB0087",248,2018,"2018-03-22T00:00:00","TGI",1.47359182403024,1.32947976878613,267687,0.802659670164918
"88","RGB0088",474,2018,"2018-03-22T00:00:00","TGI",2.32258246701449,1.96078431372549,267687,0.802659670164918
"89","RGB0089",294,2018,"2018-03-22T00:00:00","TGI",2.10240517104358,1.77339901477832,267687,0.802659670164918
"90","RGB0090",328,2018,"2018-03-22T00:00:00","TGI",2.31384368650396,1.93452380952381,267687,0.802659670164918
