"","plot.UID","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","SPC0001","2022-05-27T00:00:00","ANTHgreen560",-0.427691170335625,-0.47570388693712,391,0.664965986394558
"2","SPC0002","2022-05-27T00:00:00","ANTHgreen560",-0.512295472002395,-0.553814598059748,391,0.664965986394558
"3","SPC0003","2022-05-27T00:00:00","ANTHgreen560",-0.204516945196117,-0.188045228909861,391,0.664965986394558
"4","SPC0004","2022-05-27T00:00:00","ANTHgreen560",-0.250481036871784,-0.221033099676471,391,0.664965986394558
"5","SPC0005","2022-05-27T00:00:00","ANTHgreen560",-0.186611569521806,-0.14850183517639,391,0.664965986394558
"6","SPC0006","2022-05-27T00:00:00","ANTHgreen560",-0.136470919908282,-0.0800064849822704,391,0.664965986394558
"7","SPC0007","2022-05-27T00:00:00","ANTHgreen560",-0.181339323435964,-0.112178282141693,391,0.664965986394558
"8","SPC0008","2022-05-27T00:00:00","ANTHgreen560",-0.147556182984067,-0.130685938470009,391,0.664965986394558
"9","SPC0009","2022-05-27T00:00:00","ANTHgreen560",-0.598960894907985,-0.64006179362684,391,0.664965986394558
"10","SPC0010","2022-05-27T00:00:00","ANTHgreen560",-0.578519210139925,-0.619198079387392,391,0.664965986394558
"11","SPC0011","2022-05-27T00:00:00","ANTHgreen560",-0.54557149209501,-0.58414136577237,391,0.664965986394558
"12","SPC0012","2022-05-27T00:00:00","ANTHgreen560",-0.507684721457325,-0.5580867055078,391,0.664965986394558
"13","SPC0013","2022-05-27T00:00:00","ANTHgreen560",-0.499677173219349,-0.541013481777158,391,0.664965986394558
"14","SPC0014","2022-05-27T00:00:00","ANTHgreen560",-0.51702918811517,-0.592149986551222,391,0.664965986394558
"15","SPC0015","2022-05-27T00:00:00","ANTHgreen560",-0.511230985817934,-0.557863074903248,391,0.664965986394558
"16","SPC0016","2022-05-27T00:00:00","ANTHgreen560",-0.661641700541111,-0.663224423923278,391,0.664965986394558
"17","SPC0017","2022-05-27T00:00:00","ANTHgreen560",-0.578662647743621,-0.640974139644031,391,0.664965986394558
"18","SPC0018","2022-05-27T00:00:00","ANTHgreen560",-0.565352741009304,-0.609682606158653,391,0.664965986394558
"19","SPC0019","2022-05-27T00:00:00","ANTHgreen560",-1.1191988632625,-1.12820040932856,391,0.664965986394558
"20","SPC0020","2022-05-27T00:00:00","ANTHgreen560",-1.11053510526078,-1.18356867371948,391,0.664965986394558
"21","SPC0021","2022-05-27T00:00:00","ANTHgreen560",-0.601686291379307,-0.564413317313657,391,0.664965986394558
"22","SPC0022","2022-05-27T00:00:00","ANTHgreen560",-0.624655004326309,-0.560384062875174,391,0.664965986394558
"23","SPC0023","2022-05-27T00:00:00","ANTHgreen560",-0.66250482143513,-0.568614973278928,391,0.664965986394558
"24","SPC0024","2022-05-27T00:00:00","ANTHgreen560",-0.640859968573774,-0.599769165268881,391,0.664965986394558
"25","SPC0025","2022-05-27T00:00:00","ANTHgreen560",-0.47105579445149,-0.463384719230582,391,0.664965986394558
