"","plot.UID","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","SPC0001","2022-05-27T00:00:00","NDREI",0.420284848994516,0.52397028579626,391,0.664965986394558
"2","SPC0002","2022-05-27T00:00:00","NDREI",0.478689343419001,0.550208663704965,391,0.664965986394558
"3","SPC0003","2022-05-27T00:00:00","NDREI",0.484297191630222,0.569806951713422,391,0.664965986394558
"4","SPC0004","2022-05-27T00:00:00","NDREI",0.484632670178839,0.579291253162332,391,0.664965986394558
"5","SPC0005","2022-05-27T00:00:00","NDREI",0.492218767016776,0.573024607491808,391,0.664965986394558
"6","SPC0006","2022-05-27T00:00:00","NDREI",0.444543454949316,0.514053874465044,391,0.664965986394558
"7","SPC0007","2022-05-27T00:00:00","NDREI",0.487153717853473,0.548525897462983,391,0.664965986394558
"8","SPC0008","2022-05-27T00:00:00","NDREI",0.47219291546638,0.539694270192553,391,0.664965986394558
"9","SPC0009","2022-05-27T00:00:00","NDREI",0.53782594420244,0.598800757100742,391,0.664965986394558
"10","SPC0010","2022-05-27T00:00:00","NDREI",0.536467687584192,0.585480633215616,391,0.664965986394558
"11","SPC0011","2022-05-27T00:00:00","NDREI",0.508371047585744,0.576762126380722,391,0.664965986394558
"12","SPC0012","2022-05-27T00:00:00","NDREI",0.506620821240819,0.582534419644863,391,0.664965986394558
"13","SPC0013","2022-05-27T00:00:00","NDREI",0.49648944612365,0.571665972961315,391,0.664965986394558
"14","SPC0014","2022-05-27T00:00:00","NDREI",0.411442718617711,0.489478486742329,391,0.664965986394558
"15","SPC0015","2022-05-27T00:00:00","NDREI",0.406066458525756,0.489911870688474,391,0.664965986394558
"16","SPC0016","2022-05-27T00:00:00","NDREI",0.433135302563229,0.503282620809527,391,0.664965986394558
"17","SPC0017","2022-05-27T00:00:00","NDREI",0.417642885495987,0.507270379727452,391,0.664965986394558
"18","SPC0018","2022-05-27T00:00:00","NDREI",0.428706550380848,0.512333743071318,391,0.664965986394558
"19","SPC0019","2022-05-27T00:00:00","NDREI",0.505070785235726,0.582678186725409,391,0.664965986394558
"20","SPC0020","2022-05-27T00:00:00","NDREI",0.509157220418454,0.585754975100088,391,0.664965986394558
"21","SPC0021","2022-05-27T00:00:00","NDREI",0.528274175629081,0.539325038043997,391,0.664965986394558
"22","SPC0022","2022-05-27T00:00:00","NDREI",0.579463712992375,0.590142560351552,391,0.664965986394558
"23","SPC0023","2022-05-27T00:00:00","NDREI",0.590215188711553,0.600625881007454,391,0.664965986394558
"24","SPC0024","2022-05-27T00:00:00","NDREI",0.520514546896752,0.526412179994399,391,0.664965986394558
"25","SPC0025","2022-05-27T00:00:00","NDREI",0.598379585500725,0.610935753981353,391,0.664965986394558
